epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.6306666666666666,2.6833059294313735,0.001,0.64,1.2967014883647832
2,0.7,1.751061067421615,0.001,0.68,1.0644108007124573
3,0.7493333333333333,0.9936516668525774,0.001,0.74,0.993062546541736
4,0.7613333333333333,0.6532110505472358,0.001,0.74,0.7978175786961978
5,0.7666666666666668,0.6837392044866396,0.001,0.66,1.1146040155349988
6,0.772,0.7233083011355612,0.001,0.68,0.7860705145489391
7,0.8413333333333334,0.4279834112236965,0.001,0.74,0.6398912942325672
8,0.7893333333333333,0.6071095476599259,0.001,0.76,0.6374331564478887
9,0.8280000000000001,0.579427085704353,0.001,0.74,0.9398085249963509
10,0.8320000000000001,0.4846858838814068,0.001,0.72,0.8183885807634417
